,bench,cafe,childcare,fast_food,kindergarten,parking,restaurant,place_of_worship,school,university,garden,park,playground,pitch,surburb,postcode
401,,1.0,,5.0,1.0,16.0,,5.0,7.0,,,18.0,15.0,19.0,winter valley,3358
402,,,,,,,,,,,,,,,baxter,3911
403,,1.0,,7.0,1.0,13.0,2.0,,1.0,,,13.0,1.0,9.0,sebastopol,3356
404,97.0,38.0,2.0,12.0,14.0,300.0,34.0,24.0,33.0,,22.0,80.0,43.0,232.0,crib point,3919
405,1.0,,1.0,4.0,2.0,6.0,,1.0,14.0,,2.0,20.0,5.0,10.0,chelsea heights,3196
406,16.0,3.0,,5.0,1.0,50.0,4.0,3.0,4.0,,15.0,21.0,18.0,37.0,monbulk,3793
407,,1.0,,,,7.0,,,1.0,,,5.0,1.0,4.0,warranwood,3134
408,,,1.0,,,5.0,,,1.0,,,8.0,4.0,2.0,drouin,3818
409,,,,,,5.0,,1.0,1.0,,,7.0,2.0,3.0,corinella,3984
410,9.0,10.0,,3.0,1.0,43.0,9.0,2.0,3.0,,2.0,6.0,4.0,8.0,watsonia north,3087
411,16.0,5.0,,4.0,2.0,42.0,2.0,3.0,3.0,,3.0,5.0,5.0,26.0,albanvale,3021
412,,,,,,2.0,,,,,,8.0,6.0,1.0,belgrave,3160
413,1.0,5.0,,3.0,2.0,24.0,3.0,1.0,4.0,,,12.0,5.0,19.0,emerald,3782
414,8.0,,,,,26.0,,,1.0,,,14.0,1.0,1.0,st albans park,3219
415,,,,,,4.0,,,1.0,,,4.0,,1.0,aspendale,3195
416,6.0,17.0,1.0,23.0,2.0,138.0,19.0,9.0,12.0,1.0,7.0,54.0,7.0,84.0,botanic ridge,3977
417,,3.0,,2.0,2.0,35.0,,2.0,4.0,,4.0,17.0,11.0,18.0,cranbourne south,3977
418,12.0,4.0,,,,27.0,6.0,,1.0,,2.0,9.0,2.0,8.0,mildura,3500
419,,14.0,,15.0,,155.0,23.0,6.0,12.0,2.0,1.0,66.0,42.0,42.0,somerville,3912
420,,2.0,,1.0,1.0,24.0,7.0,1.0,2.0,,,13.0,7.0,8.0,olinda,3788
421,59.0,20.0,4.0,51.0,8.0,390.0,9.0,16.0,29.0,,17.0,133.0,95.0,245.0,warrnambool,3280
422,1.0,,1.0,2.0,,13.0,,,3.0,,,12.0,4.0,13.0,cairnlea,3023
423,,,,,,3.0,4.0,,,,,,,,lara,3212
424,,1.0,,,3.0,6.0,,,1.0,,,9.0,3.0,3.0,delahey,3037
425,,,,,,,,,,,,,,,bonnie brook,3335
426,,,1.0,,,,,,,,,,,,kealba,3021
427,,,,,,3.0,,,2.0,,,2.0,1.0,7.0,altona east,3025
428,,,,,,,,2.0,1.0,,,1.0,,,bonshaw,3352
429,1.0,,,,,1.0,,,1.0,,,6.0,3.0,8.0,quarry hill,3550
430,12.0,5.0,,12.0,3.0,54.0,11.0,1.0,5.0,,2.0,33.0,15.0,43.0,deanside,3336
431,8.0,,,1.0,,10.0,,,1.0,,,13.0,3.0,16.0,huntly,3551
432,,1.0,,1.0,1.0,20.0,,2.0,,,,10.0,2.0,30.0,taylors lakes,3038
433,,,,,,2.0,,,,,,6.0,2.0,,essendon west,3040
434,1.0,,,,,10.0,,2.0,3.0,,39.0,2.0,2.0,3.0,keilor park,3042
435,5.0,,,,,3.0,,,,,,11.0,4.0,,jackass flat,3556
436,,,,,,,,,,,3.0,,,,new gisborne,3438
437,5.0,,,,,2.0,,,,,,5.0,1.0,9.0,attwood,3049
438,1.0,,1.0,,1.0,9.0,1.0,,1.0,,,3.0,5.0,19.0,coolaroo,3048
439,,,,,,1.0,,,1.0,,,1.0,,1.0,strathmore heights,3041
440,3.0,2.0,,13.0,2.0,89.0,,3.0,6.0,,,41.0,27.0,99.0,eynesbury,3338
441,5.0,,,,,7.0,,,,,,1.0,,,toolern vale,3337
442,,3.0,,5.0,1.0,12.0,2.0,3.0,2.0,,,5.0,,8.0,corio,3214
443,,,,,2.0,22.0,,,3.0,,,20.0,9.0,9.0,princetown,3269
444,,,,,,,,,,,,,,2.0,ballan,3342
445,2.0,,,,,2.0,,,1.0,,2.0,15.0,4.0,,delacombe,3356
446,2.0,,,,,2.0,,,1.0,,,16.0,6.0,8.0,sebastian,3556
447,2.0,1.0,4.0,11.0,,54.0,2.0,2.0,6.0,,1.0,23.0,21.0,69.0,miners rest,3352
448,,,,,,,,,,,,,1.0,,canadian,3350
449,4.0,3.0,,3.0,,9.0,4.0,1.0,1.0,,,9.0,8.0,14.0,wendouree,3355
450,16.0,1.0,,2.0,1.0,26.0,,,,,,3.0,2.0,7.0,ascot,3551
451,4.0,3.0,,2.0,,9.0,,2.0,1.0,,,6.0,7.0,8.0,portarlington,3223
452,,1.0,,,,3.0,,2.0,2.0,,,2.0,,4.0,little river,3211
453,2.0,2.0,,,,13.0,,1.0,2.0,,3.0,2.0,1.0,2.0,st leonards,3223
454,,,,,,,,,1.0,,,,,,inglewood,3517
455,,,,,,,,,,,,5.0,,,mount macedon,3441
456,,,2.0,,,5.0,,1.0,1.0,,,5.0,2.0,14.0,bolinda,3432
457,,1.0,,,,9.0,,2.0,5.0,,1.0,4.0,4.0,17.0,hopetoun park,3340
458,,1.0,,,,5.0,,,2.0,,,1.0,3.0,4.0,curlewis,3222
459,,2.0,,2.0,,11.0,,,,,,2.0,1.0,,drysdale,3222
460,7.0,1.0,,,2.0,17.0,,,1.0,,,10.0,3.0,6.0,moorooduc,3933
461,129.0,22.0,7.0,39.0,5.0,285.0,27.0,15.0,28.0,,396.0,456.0,76.0,178.0,avalon,3212
462,,,,,,,,,,,,,,3.0,jan juc,3228
463,2.0,,,1.0,1.0,26.0,,1.0,3.0,,11.0,9.0,13.0,16.0,yan yean,3755
464,1.0,2.0,,8.0,1.0,6.0,2.0,1.0,4.0,,,9.0,5.0,6.0,gheringhap,3331
465,8.0,2.0,,2.0,2.0,17.0,2.0,6.0,2.0,,,13.0,7.0,44.0,bell post hill,3215
466,,,,,,12.0,1.0,2.0,2.0,,1.0,9.0,,34.0,bell park,3215
467,,,,,,1.0,,,1.0,,,,,,tatura,3616
468,,1.0,,3.0,1.0,16.0,,,2.0,,1.0,11.0,2.0,6.0,kyabram,3620
469,,1.0,,2.0,2.0,22.0,1.0,2.0,4.0,,,15.0,3.0,25.0,orrvale,3631
470,,,,,,1.0,,,,,1.0,,,,kialla,3631
471,,,1.0,,,6.0,2.0,3.0,2.0,,,8.0,2.0,9.0,mooroopna,3629
472,,,,,,,,,,,,,,,oaklands junction,3063
473,,,,,,,,,,,,,,,broadford,3658
474,,,,,,,,,1.0,,,,,2.0,glenaroua,3764
475,,1.0,,,1.0,5.0,,,1.0,,,2.0,1.0,5.0,reedy creek,3658
476,,,,,,,,,,,,,,,cardinia,3978
477,,,,2.0,,17.0,1.0,2.0,3.0,,,37.0,13.0,23.0,garfield,3814
478,19.0,16.0,,16.0,2.0,63.0,22.0,5.0,2.0,,1.0,6.0,5.0,10.0,pakenham south,3810
479,,,,,,30.0,,1.0,1.0,1.0,,3.0,,26.0,alfredton,3350
480,,,,,,8.0,,1.0,2.0,,,7.0,2.0,4.0,geelong west,3218
481,,,,,,2.0,,1.0,2.0,,,,,7.0,flora hill,3550
482,,,,,,3.0,,,,,,1.0,2.0,3.0,romsey,3434
483,21.0,25.0,1.0,3.0,4.0,211.0,16.0,21.0,45.0,1.0,48.0,76.0,37.0,135.0,lancefield,3435
484,,1.0,,,,15.0,,1.0,4.0,,,4.0,2.0,17.0,hidden valley,3756
485,7.0,3.0,,,,23.0,3.0,1.0,4.0,1.0,1.0,13.0,6.0,16.0,macedon,3440
486,1.0,1.0,,1.0,,8.0,1.0,1.0,2.0,,3.0,18.0,7.0,6.0,woodend,3442
487,,2.0,,,,10.0,,,2.0,,,5.0,,4.0,kyneton,3444
488,1.0,1.0,,2.0,,12.0,2.0,2.0,,,1.0,4.0,1.0,6.0,st helena,3088
489,,2.0,,,,7.0,,1.0,2.0,,,3.0,1.0,20.0,yarrambat,3091
490,7.0,1.0,,,1.0,13.0,2.0,,1.0,,,4.0,1.0,5.0,plenty,3090
491,,,,,,1.0,,,1.0,,,,,,nagambie,3608
492,,,,,,,,,1.0,,,,,,woori yallock,3139
493,,1.0,,,,2.0,,,1.0,,,2.0,,1.0,preston west,3072
494,4.0,4.0,1.0,2.0,,27.0,4.0,1.0,1.0,,1.0,4.0,2.0,14.0,preston south,3072
495,2.0,,,,1.0,21.0,,,3.0,,,7.0,3.0,8.0,flowerdale,3717
496,4.0,3.0,,,1.0,3.0,4.0,1.0,2.0,,1.0,2.0,3.0,11.0,upper ferntree gully,3156
497,5.0,1.0,,3.0,2.0,11.0,2.0,3.0,1.0,,,2.0,1.0,,koo wee rup,3981
498,14.0,2.0,1.0,,1.0,9.0,,2.0,3.0,,,2.0,5.0,21.0,sassafras,3787
499,,2.0,,2.0,1.0,15.0,2.0,1.0,3.0,,1.0,8.0,4.0,10.0,tecoma,3160
500,,1.0,,,1.0,17.0,1.0,,1.0,,,1.0,2.0,2.0,upwey,3158
501,10.0,5.0,,8.0,2.0,54.0,3.0,4.0,6.0,,1.0,10.0,6.0,18.0,the basin,3154
502,3.0,9.0,,6.0,,38.0,9.0,3.0,3.0,,,7.0,3.0,10.0,mount dandenong,3767
503,,,,,,1.0,,,1.0,,,1.0,1.0,3.0,mount evelyn,3796
504,,3.0,,,,6.0,1.0,,1.0,,,2.0,,1.0,healesville,3777
505,,1.0,,1.0,1.0,8.0,,2.0,1.0,,,1.0,1.0,11.0,the patch,3792
506,1.0,,,,1.0,8.0,,1.0,1.0,,,4.0,1.0,1.0,kallista,3791
507,7.0,,,,1.0,10.0,,6.0,1.0,,5.0,3.0,4.0,7.0,belgrave south,3160
508,100.0,20.0,2.0,33.0,18.0,280.0,33.0,15.0,37.0,1.0,18.0,163.0,60.0,187.0,selby,3159
509,,,,,1.0,,,,,,,,1.0,,belgrave heights,3160
510,,,,,,,,,,,,,,,gembrook,3783
511,,,,,,,,,,,,,,,avonsleigh,3782
512,6.0,3.0,,5.0,,15.0,1.0,,1.0,,,4.0,1.0,6.0,beenak,3139
513,6.0,,,,,6.0,,,1.0,,17.0,2.0,2.0,1.0,beaconsfield,3807
514,,1.0,,,1.0,12.0,,,2.0,,,2.0,,14.0,tooradin,3980
515,,,,,1.0,6.0,,,1.0,,,,1.0,7.0,officer south,3809
516,24.0,3.0,1.0,13.0,1.0,81.0,24.0,3.0,13.0,,1.0,75.0,19.0,19.0,bunyip,3815
517,4.0,1.0,,1.0,,3.0,,,1.0,,,3.0,,2.0,lang lang,3984
518,,,,,,,,,,,,4.0,3.0,3.0,traralgon,3844
519,,,,,,1.0,,,1.0,,,,,1.0,toongabbie,3856
520,,,,,,,,,,,,,,,junction village,3977
521,,,,,,2.0,,,,,,1.0,,2.0,devon meadows,3977
522,55.0,16.0,1.0,47.0,8.0,226.0,20.0,19.0,22.0,,7.0,127.0,65.0,150.0,dalmore,3981
523,,14.0,3.0,17.0,1.0,68.0,14.0,7.0,10.0,,3.0,20.0,16.0,40.0,warneet,3980
524,3.0,1.0,,,1.0,13.0,1.0,1.0,5.0,1.0,,22.0,8.0,13.0,narre warren north,3804
525,3.0,3.0,,1.0,,11.0,2.0,1.0,3.0,,,2.0,2.0,6.0,warragul,3820
526,,,,,,,,,,,,4.0,3.0,4.0,churchill,3842
527,,,,,,3.0,,,1.0,,,,,,yarra junction,3797
528,,,,,,4.0,1.0,,,,,,,,longwarry,3816
529,4.0,4.0,,3.0,,36.0,10.0,1.0,2.0,,,5.0,1.0,42.0,labertouche,3816
530,,,,,,2.0,,,,,,3.0,,,main ridge,3928
531,,,,,,5.0,,,1.0,,,8.0,,17.0,sorrento,3943
532,,1.0,,,,1.0,2.0,,,,,1.0,,,balnarring beach,3926
533,,,,,,5.0,4.0,2.0,1.0,,,5.0,1.0,8.0,somers,3927
534,1.0,,,,,1.0,4.0,,,,,,,,merricks,3916
535,,,,,,1.0,,,1.0,,,,,10.0,balnarring,3926
536,,3.0,,,,10.0,,,3.0,,,5.0,2.0,21.0,red hill south,3937
537,,,,,,,1.0,,,,,,,,red hill,3937
538,,,,,,,,,,,,,,5.0,tyabb,3913
539,7.0,,,1.0,1.0,29.0,1.0,,,,1.0,2.0,2.0,3.0,merricks north,3926
540,,1.0,,,,,,,,,,,,,cape schanck,3939
541,,1.0,,,,24.0,,,,,,3.0,,,flinders,3929
542,,,,,,3.0,1.0,,,,,,,1.0,arthurs seat,3936
543,,,,,,8.0,,,1.0,,,7.0,3.0,30.0,point leo,3916
544,,,,,,9.0,,,,,,,,9.0,tuerong,3915
545,,,,,,2.0,,,,,,,,,pearcedale,3912
546,7.0,,,,,18.0,,,,,1.0,12.0,1.0,354.0,fingal,3939
547,,,,,,4.0,1.0,,3.0,,,,,2.0,st andrews beach,3941
548,,,1.0,1.0,,16.0,,,1.0,,,7.0,1.0,8.0,portsea,3944
549,,,,,,3.0,,,2.0,,,,1.0,12.0,shepparton north,3631
550,,,,,,1.0,,,,,,,,,bittern,3918
551,17.0,10.0,,12.0,,33.0,26.0,3.0,2.0,,,12.0,4.0,19.0,langwarrin south,3911
552,29.0,3.0,,1.0,,38.0,,,1.0,,1.0,4.0,2.0,7.0,blind bight,3980
553,2.0,3.0,,3.0,1.0,45.0,3.0,,,,1.0,11.0,3.0,12.0,cowes,3922
554,,,,,,10.0,,,1.0,,,10.0,10.0,6.0,east geelong,3219
555,10.0,2.0,,4.0,2.0,11.0,,2.0,3.0,,,3.0,5.0,21.0,north geelong,3215
556,,,,,,5.0,,,,,,2.0,1.0,7.0,clifton springs,3222
557,5.0,,,1.0,1.0,5.0,,,2.0,,,7.0,4.0,2.0,herne hill,3218
558,1.0,,,,,14.0,,1.0,,,,3.0,1.0,1.0,breakwater,3219
559,,,,,,3.0,,,,,,1.0,,,whittington,3219
560,28.0,12.0,,5.0,4.0,76.0,16.0,6.0,4.0,,,16.0,12.0,16.0,marshall,3216
561,,3.0,,,1.0,14.0,3.0,1.0,2.0,,,8.0,,21.0,thomson,3219
562,1.0,1.0,1.0,3.0,,6.0,,,1.0,,,5.0,1.0,2.0,torquay,3228
563,5.0,4.0,,6.0,2.0,40.0,5.0,1.0,4.0,,,26.0,19.0,30.0,bannockburn,3331
564,,3.0,,1.0,,3.0,,3.0,1.0,,,1.0,2.0,5.0,lovely banks,3213
565,6.0,,,,,9.0,,,,,,6.0,3.0,2.0,ocean grove,3226
566,,1.0,,,,2.0,1.0,3.0,1.0,,,,,5.0,manifold heights,3218
567,,1.0,,,,2.0,,,,,,,1.0,3.0,fyansford,3218
568,,,,,,,,,,,,5.0,2.0,7.0,birregurra,3242
569,28.0,,,2.0,,101.0,,,,,,6.0,4.0,27.0,moriac,3240
570,,,,,,2.0,,,,,,,,2.0,wandana heights,3216
571,,1.0,,,,3.0,,,1.0,,,4.0,,3.0,south geelong,3220
572,5.0,1.0,,,,12.0,,,1.0,,,4.0,7.0,11.0,mount moriac,3240
573,,4.0,,4.0,,17.0,1.0,2.0,1.0,,,6.0,6.0,7.0,winchelsea,3241
574,,,,,,,,,1.0,,,,,,point lonsdale,3225
575,,2.0,,2.0,1.0,42.0,3.0,,,,2.0,4.0,,,barwon heads,3227
576,2.0,,1.0,3.0,,31.0,,,1.0,,,10.0,5.0,18.0,coragulac,3249
577,1.0,,,,,,,,,,,1.0,,3.0,essendon fields,3041
578,,,,,,1.0,,,1.0,,2.0,,2.0,2.0,epsom,3551
579,3.0,,,4.0,,22.0,,,1.0,,,,4.0,20.0,drumcondra,3215
580,,,,,,2.0,,,1.0,,,,,,batesford,3213
581,,,,,,,,,,,,,,,moolap,3224
582,,1.0,,,,4.0,,1.0,1.0,,,1.0,1.0,8.0,moorabool,3213
583,3.0,,,,,9.0,,1.0,,,,3.0,1.0,,buckley,3240
584,,,,,,1.0,,,1.0,,,8.0,5.0,1.0,anakie,3213
585,4.0,,,,,13.0,,2.0,3.0,,,3.0,4.0,80.0,north shore,3214
586,,,,,,3.0,1.0,,1.0,,,,,8.0,mount pleasant,3350
587,,1.0,,1.0,,5.0,,,3.0,,2.0,1.0,2.0,10.0,newington,3350
588,,,,4.0,1.0,42.0,,6.0,3.0,,2.0,8.0,8.0,24.0,marong,3515
589,,1.0,,2.0,,13.0,,1.0,,1.0,,4.0,,3.0,white hills,3550
590,,,,,,1.0,,1.0,1.0,,,1.0,,3.0,eaglehawk,3556
591,,,,,,2.0,,,1.0,,,13.0,1.0,4.0,east bendigo,3550
592,,,,5.0,,27.0,,3.0,6.0,,,12.0,4.0,4.0,spring gully,3550
593,1.0,,,1.0,,4.0,,,2.0,,,3.0,2.0,5.0,strathdale,3550
594,,,,,,5.0,1.0,,2.0,,,2.0,,13.0,kangaroo flat,3555
595,,,,,,2.0,,,1.0,,,,,1.0,california gully,3556
596,,,,,,3.0,,,,,,,,4.0,maiden gully,3551
597,,,,1.0,,4.0,,1.0,1.0,,,1.0,,5.0,goornong,3557
598,,,,,,4.0,,1.0,1.0,,,5.0,2.0,7.0,mandurang,3551
599,1.0,,,,,,,,,,,,,3.0,ironbark,3550
600,,,,,,2.0,,,1.0,,,,,,long gully,3550
601,,,,,,,,2.0,,,,,,2.0,longlea,3551
602,,,,,,6.0,,,,,,,,,big hill,3555
603,,,,,,6.0,,,3.0,,,10.0,,14.0,toolleen,3551
604,,,,,,1.0,,,,,,,,,ravenswood,3453
605,,,,,,,,,,,,,,,strathfieldsaye,3551
606,,,,,,1.0,,,1.0,,,,,3.0,woodvale,3556
607,3.0,,,1.0,,3.0,,1.0,1.0,,,,1.0,5.0,wilsons hill,3515
608,,,,,,,,,,,,,,,dingee,3571
609,1.0,,,,,2.0,,1.0,1.0,,,,1.0,4.0,axedale,3551
610,,,,,,,,,1.0,,,,,,eppalock,3551
611,,,,,,,,,,,,,,,junortoun,3551
612,1.0,1.0,,1.0,,5.0,1.0,1.0,2.0,,,1.0,,6.0,sailors gully,3556
613,,1.0,,1.0,,1.0,,1.0,1.0,,,3.0,,4.0,golden gully,3555
614,,,,,,,,,,,,,,,elmore,3558
615,2.0,2.0,,2.0,,15.0,,,2.0,,,2.0,1.0,2.0,bridgewater on loddon,3516
616,1.0,3.0,,8.0,1.0,55.0,9.0,3.0,9.0,,,12.0,2.0,12.0,shelbourne,3515
617,,,,1.0,,8.0,,,1.0,,,8.0,1.0,,marlo,3888
618,1.0,,,,,2.0,,,,,,4.0,1.0,,bairnsdale,3875
619,,,,,,5.0,1.0,,1.0,,,3.0,,2.0,eastwood,3875
620,,,,,,2.0,,,1.0,,,,,1.0,kalimna,3909
621,,5.0,,6.0,,29.0,7.0,2.0,3.0,,,6.0,4.0,10.0,metung,3904
622,,1.0,1.0,,,11.0,2.0,,1.0,,,2.0,6.0,6.0,swan reach,3903
623,,,,,,1.0,,1.0,,,,,,,lakes entrance,3909
624,2.0,,,4.0,,37.0,4.0,2.0,8.0,,11.0,10.0,2.0,40.0,paynesville,3880
625,,,,,,3.0,,,1.0,,,2.0,,1.0,fernbank,3864
626,,,,,,,,,1.0,,,,,2.0,benalla,3672
627,,,,,,,,,1.0,,,,,,violet town,3669
628,,,,,,,,,,,,,,,devenish,3726
629,,,,,,1.0,,1.0,,,,1.0,,4.0,baddaginnie,3670
630,,,,,,,,,,,,,,,upper lurg,3673
631,,,,1.0,,,1.0,,1.0,,,,,3.0,goorambat,3725
632,1.0,,,3.0,,7.0,,,1.0,,,,,,lima,3673
633,,,,,,,,,,,,,,,swanpool,3673
634,,,,,,,,,,,,,,5.0,winton,3673
635,3.0,,,,,2.0,,,,,,,,6.0,chesney vale,3725
636,,4.0,,1.0,1.0,5.0,,2.0,1.0,,,2.0,1.0,3.0,molyullah,3673
637,,1.0,,,,1.0,,,1.0,,1.0,,,9.0,tatong,3673
638,,,,,,,,1.0,,,,,,1.0,glenrowan,3675
639,,1.0,,5.0,1.0,40.0,3.0,1.0,7.0,,,11.0,7.0,14.0,dookie,3646
640,,,,,,6.0,,,2.0,,,,,12.0,thoona,3726
641,,,,,,,,,,,,,,2.0,echuca,3564
642,,,,,1.0,2.0,,1.0,1.0,,,16.0,,7.0,tongala,3621
