,Name,Suburb,Location,postcode
0,206 BOURKE STREET Victoria,Melbourne," GPS: -37.812733,144.966947",3000
1,ACLAND COURT SHOPPING CENTRE Victoria,St Kilda," GPS: -37.868967,144.980617",3182
2,ALTONA GATE SHOPPING CENTRE Victoria,Melbourne," GPS: -37.828989,144.84627",3000
3,BALNARRING VILLAGE SHOPPING CENTRE Victoria,Balnarring," GPS: -38.373199,145.12501",3926
4,BARKLY SQUARE Victoria,Brunswick," GPS: -37.775695,144.962004",3056
5,BARRABOOL HILLS PLAZA Victoria,Geelong," GPS: -38.161872,144.305826",3220
6,BAYSIDE SHOPPING CENTRE Victoria,Frankston," GPS: -38.141951,145.124068",3199
7,BELLARINE VILLAGE SHOPPING CENTRE Victoria,Newcomb," GPS: -38.168784,144.388547",3219
8,BELLPOST SHOPPING CENTRE Victoria,Geelong," GPS: -38.089309,144.336645",3220
9,BELMONT VILLAGE Victoria,Belmont," GPS: -38.170104,144.349107",3216
10,BENDIGO MARKETPLACE Victoria,Bendigo," GPS: -36.765765,144.280743",3550
11,BENTONS SQUARE SHOPPING CENTRE Victoria,Mornington," GPS: -38.245416,145.048067",3931
12,BERWICK MARKETPLACE Victoria,Berwick," GPS: -38.02951,145.346619",3806
13,BIRALLEE VILLAGE SHOPPING CENTRE Victoria,Wodonga," GPS: -36.127763,146.86482",3689
14,BOURKE STREET MALL Victoria,Melbourne," GPS: -37.813538,144.964386",3000
15,BOX HILL CENTRAL Victoria,Box Hill," GPS: -37.818677,145.12179",3128
16,BRAND SMART PREMIUM OUTLET CENTRE Victoria,Nunawading," GPS: -37.819375,145.1714718",3131
17,BRANDON PARK SHOPPING CENTRE Victoria,Wheelers Hill," GPS: -37.905522,145.161647",3150
18,BRAYBROOK SHOPPING CENTRE Victoria,Braybrook," GPS: -37.782172,144.86422",3019
19,BRIMBANK CENTRAL SHOPPING CENTRE Victoria,Deer Park," GPS: -37.751223,144.775276",3023
20,BROADMEADOWS SHOPPING CENTRE Victoria,Broadmeadows," GPS: -37.680244,144.91953",3047
21,BULLEEN PLAZA Victoria,Bulleen," GPS: -37.76613,145.091637",3105
22,BURNSIDE HUB Victoria,Burnside," GPS: -37.75938,144.753677",3023
23,BURWOOD ONE SHOPPING CENTRE Victoria,Burwood East," GPS: -37.853784,145.149761",3151
24,CAMBERWELL SUNDAY MARKET Victoria,Camberwell," GPS: -37.82931,145.058043",3124
25,CAMPBELLFIELD PLAZA Victoria,Melbourne," GPS: -37.689343,144.960737",3000
26,CANTERBURY GARDENS SHOPPING CENTRE Victoria,Bayswater," GPS: -37.822732,145.301494",3153
27,CARNEGIE CENTRAL Victoria,Carnegie," GPS: -37.884786,145.058444",3163
28,CAULFIELD PLAZA SHOPPING CENTRE Victoria,Caulfield East," GPS: -37.876146,145.04284",3145
29,CENTRAL SQUARE SHOPPING CENTRE Victoria,Altona Meadows," GPS: -37.873122,144.776038",3028
30,CENTRAL WEST SHOPPING CENTRE Victoria,Braybrook," GPS: -37.793489,144.861609",3019
31,CENTRO SUNSHINE MARKETPLACE Victoria,Sunshine," GPS: -37.78187,144.831506",3020
32,CENTURY CITY WALK Victoria,Glen Waverley," GPS: -37.881427,145.164632",3150
33,CHADSTONE THE FASHION CAPITAL Victoria,Chadstone," GPS: -37.886038881076,145.08346106348",3148
34,CHIRNSIDE HOMEMAKER CENTRE Victoria,Chirnside Park," GPS: -37.765247,145.305655",3116
35,CHIRNSIDE PARK SHOPPING CENTRE Victoria,Chirnside Park," GPS: -37.758258,145.313972",3116
36,CIVIC SQUARE SHOPPING CENTRE Victoria,Croydon," GPS: -37.799301795285,145.28299318557",3136
37,COBURG HILL SHOPPING CENTRE Victoria,Coburg North," GPS: -37.729625,144.983537",3058
38,COLLINS PLACE Victoria,Melbourne," GPS: -37.814312,144.97268",3000
39,COLLINS234 BOUTIQUE PLACE Victoria,Melbourne," GPS: -37.815545,144.965749",3000
40,CORIO VILLAGE SHOPPING CENTRE Victoria,Corio," GPS: -38.074772,144.355819",3214
41,CRAIGIEBURN CENTRAL Victoria,Craigieburn," GPS: -37.592986,144.912268",3064
42,CRANBOURNE HOMEMAKER CENTRE Victoria,Cranbourne," GPS: -38.085817,145.279178",3977
43,CRANBOURNE PARK Victoria,Cranbourne," GPS: -38.109657,145.282017",3977
44,CROYDON CENTRAL SHOPPING CENTRE Victoria,Croydon," GPS: -37.794026,145.278937",3136
45,CS SQUARE SHOPPING CENTRE Victoria,Caroline Springs," GPS: -37.731774,144.743748",3023
46,DANDENONG PLAZA Victoria,Dandenong," GPS: -37.986731,145.217684",3175
47,DARLEY PLAZA Victoria,Darley," GPS: -37.659449,144.440871",3340
48,DFO ESSENDON Victoria,Essendon," GPS: -37.733125,144.906547",3040
49,DFO MOORABBIN Victoria,Moorabbin," GPS: -37.971261,145.08812",3189
50,DFO SOUTH WHARF Victoria,South Wharf," GPS: -37.825196,144.949879",3006
51,DIAMOND CREEK SHOPPING STATION Victoria,Diamond Creek," GPS: -37.673551,145.15957",3089
52,DINGLEY VILLAGE SHOPPING CENTRE Victoria,Dingley Village," GPS: -37.983412,145.132541",3172
53,DROMANA HUB SHOPPING CENTRE Victoria,Dromana," GPS: -38.333538,144.964645",3936
54,EASTLAND SHOPPING CENTRE Victoria,Ringwood," GPS: -37.812672,145.229157",3134
55,EASTWOOD VILLAGE SHOPPING CENTRE Victoria,Bairnsdale," GPS: -37.826676,147.629682",3875
56,ELIZA SQUARE SHOPPING CENTRE Victoria,Mount Eliza," GPS: -38.183794,145.089375",3930
57,ELTHAM VILLAGE SHOPPING CENTRE Victoria,Eltham," GPS: -37.714902,145.148743",3095
58,EMPORIUM MELBOURNE Victoria,Melbourne," GPS: -37.812517,144.963555",3000
59,ENDEAVOUR HILLS SHOPPING CENTRE Victoria,Endeavour Hills," GPS: -37.976993,145.258788",3802
60,EPPING NORTH SHOPPING CENTRE Victoria,Epping," GPS: -37.628168,145.027155",3076
61,FEDERATION SQUARE (FED SQUARE) Victoria,Melbourne," GPS: -37.81797,144.969024",3000
62,FOOTSCRAY MARKET Victoria,Footscray," GPS: -37.800522,144.901875",3011
63,FOOTSCRAY PLAZA SHOPPING CENTRE Victoria,Footscray," GPS: -37.802426,144.894785",3011
64,FOREST HILL CHASE SHOPPING CENTRE Victoria,Forest Hill," GPS: -37.835453,145.164718",3131
65,FRANKSTON POWER CENTRE Victoria,Frankston," GPS: -38.148946,145.137326",3199
66,GALLERIA MELBOURNE Victoria,Melbourne," GPS: -37.814824,144.962743",3000
67,GATEWAY PLAZA Victoria,Warrnambool," GPS: -38.381608,142.519768",3280
68,GEELONG GATE HOMEMAKER CENTRE Victoria,Geelong," GPS: -38.065015,144.383085",3220
69,GIPPSLAND CENTRE Victoria,Sale," GPS: -38.106745,147.06271",3850
70,GISBORNE VILLAGE SHOPPING CENTRE Victoria,Gisborne," GPS: -37.485605,144.589909",3437
71,GLADSTONE PARK SHOPPING CENTRE Victoria,Gladstone Park," GPS: -37.688293,144.88463",3043
72,GREENSBOROUGH PLAZA Victoria,Greensborough," GPS: -37.702696,145.102816",3088
73,GREENVALE SHOPPING CENTRE Victoria,Greenvale," GPS: -37.639349,144.881948",3059
74,HAMPTON PARK SHOPPING CENTRE Victoria,Hampton Park," GPS: -38.032654,145.265843",3976
75,HARBOUR TOWN MELBOURNE Victoria,Docklands," GPS: -37.812574,144.939344",3008
76,HARVEY NORMAN - WANGARATTA Victoria,Wangaratta," GPS: -36.356748,146.325113",3676
77,HARVEY NORMAN CENTRE - HOPPERS CROSSING Victoria,Hoppers Crossing," GPS: -37.875109,144.710844",3029
78,HARVEY NORMAN CENTRE MARIBYRNONG Victoria,Maribyrnong," GPS: -37.772658,144.885527",3032
79,HARVEY NORMAN CENTRE WARRNAMBOOL Victoria,Warrnambool," GPS: -38.383231,142.523999",3280
80,HEALESVILLE WALK SHOPPING CENTRE Victoria,Healesville," GPS: -37.652833,145.518043",3777
81,HIGHETT SHOPPING CENTRE Victoria,Highett," GPS: -37.949024,145.041367",3190
82,HIGHPOINT SHOPPING CENTRE Victoria,Maribyrnong," GPS: -37.77369,144.888781",3032
83,HOGAN'S CORNER SHOPPING CENTRE Victoria,Hoppers Crossing," GPS: -37.861908,144.68726",3029
84,HOME QUARTER DANDENONG Victoria,Dandenong," GPS: -38.005209,145.21853",3175
85,HOMECO. BALLARAT (FORM. WENDOUREE HOMEMAKER CENTRE) Victoria,Wendouree," GPS: -37.5343837,143.8211086",3355
86,HOMEMAKER CITY MARIBYRNONG Victoria,Maribyrnong," GPS: -37.771563,144.884429",3032
87,HOMEMAKERS ALBURY WODONGA Victoria,Wodonga," GPS: -36.137884,146.90877",3689
88,HOMEPLUS HOMEMAKER CENTRE Victoria,Chadstone," GPS: -37.877598,145.091922",3148
89,HORSHAM PLAZA Victoria,Horsham," GPS: -36.715718,142.196203",3400
90,IVANHOE PLAZA Victoria,Ivanhoe," GPS: -37.768183,145.04146",3079
91,KARINGAL HUB SHOPPING CENTRE Victoria,Frankston," GPS: -38.153172,145.165494",3199
92,KEILOR SHOPPING CENTRE Victoria,Keilor Downs," GPS: -37.727952,144.806774",3038
93,KENNINGTON VILLAGE SHOPPING CENTRE Victoria,Bendigo," GPS: -36.775409,144.306331",3550
94,LANSELL SQUARE Victoria,Kangaroo Flat," GPS: -36.810475,144.242283",3555
95,LILYDALE MARKETPLACE Victoria,Lilydale," GPS: -37.759801,145.348895",3140
96,LYNBROOK VILLAGE SHOPPING CENTRE Victoria,Lynbrook," GPS: -38.05177,145.256595",3975
97,MALVERN CENTRAL Victoria,Malvern," GPS: -37.863028,145.027026",3144
99,MARKET SQUARE SHOPPING CENTRE Victoria,Geelong," GPS: -38.147951,144.361964",3220
100,MEADOW HEIGHTS SHOPPING CENTRE Victoria,Meadow Heights," GPS: -37.650845,144.922161",3048
101,MELBOURNE CENTRAL SHOPPING CENTRE Victoria,Melbourne," GPS: -37.810813,144.962812",3000
102,MELBOURNE GPO Victoria,Melbourne," GPS: -37.813692,144.963206",3000
103,MELTON GATEWAY Victoria,Melton," GPS: -37.688442,144.603102",3337
104,MIDVALLEY SHOPPING CENTRE Victoria,Morwell," GPS: -38.236989,146.429798",3840
105,MILDURA CENTRAL Victoria,Mildura," GPS: -34.208196,142.138774",3500
106,MILLEARA SHOPPING CENTRE Victoria,Keilor East," GPS: -37.749591,144.861442",3033
107,MITCHAM SHOPPING CENTRE Victoria,Mitcham," GPS: -37.815739,145.192535",3132
108,MOONEE PONDS CENTRAL Victoria,Moonee Ponds," GPS: -37.765648,144.922669",3039
109,MOORABBIN HOUSE AND HOME CENTRE Victoria,Moorabbin," GPS: -37.939558,145.038272",3189
110,MORDIALLOC PLAZA Victoria,Mordialloc," GPS: -38.008072,145.086614",3195
111,MORNINGTON CENTRAL Victoria,Mornington," GPS: -38.218566,145.039113",3931
112,MORNINGTON VILLAGE SHOPPING CENTRE Victoria,Mornington," GPS: -38.223672,145.040597",3931
113,MOUNTAIN GATE SHOPPING CENTRE Victoria,Ferntree Gully," GPS: -37.883678,145.274908",3156
114,MOUNTAIN HIGH SHOPPING CENTRE Victoria,Bayswater," GPS: -37.840921,145.265094",3153
115,MYER BOURKE STREET Victoria,Melbourne," GPS: -37.813881,144.963993",3000
116,NEWCOMB CENTRAL SHOPPING CENTRE Victoria,Newcomb," GPS: -38.169956,144.39147",3219
117,NORTH BLACKBURN SHOPPING CENTRE Victoria,Blackburn," GPS: -37.812013,145.152392",3130
118,NORTHCOTE SHOPPING PLAZA Victoria,Melbourne," GPS: -37.768556,145.001845",3000
119,NORTHLAND HOMEMAKER CENTRE Victoria,Preston," GPS: -37.741697,145.027778",3072
120,NORTHLAND SHOPPING CENTRE Victoria,Preston," GPS: -37.739018,145.029845",3072
121,OAKLEIGH CENTRAL Victoria,Oakleigh," GPS: -37.901055,145.090211",3166
122,OCEAN GROVE MARKETPLACE Victoria,Ocean Grove," GPS: -38.258894,144.548297",3226
123,PACIFIC EPPING Victoria,Epping," GPS: -37.653869,145.018678",3076
124,PACIFIC WERRIBEE PLAZA Victoria,Werribee," GPS: -37.875219,144.679643",3030
125,PAKENHAM CENTRAL MARKETPLACE Victoria,Pakenham," GPS: -38.0775,145.483931",3810
126,PAKENHAM PLACE SHOPPING CENTRE Victoria,Pakenham," GPS: -38.079019,145.480817",3810
127,PAKINGTON STRAND Victoria,Geelong," GPS: -38.137503,144.347662",3220
128,PAKINGTON STRAND SHOPPING CENTRE Victoria,Geelong," GPS: -38.136985,144.347624",3220
129,PARKDALE PLAZA Victoria,Parkdale," GPS: -37.997395,145.084297",3195
130,PARKHILL PLAZA SHOPPING CENTRE Victoria,Berwick," GPS: -38.014211,145.322697",3806
131,PARKMORE SHOPPING CENTRE Victoria,Keysborough," GPS: -37.992893,145.173138",3173
132,PINEWOOD SHOPPING VILLAGE Victoria,Mount Waverley," GPS: -37.892422,145.145241",3149
133,PRAN CENTRAL SHOPPING CENTRE Victoria,Prahran," GPS: -37.846954,144.993643",3181
134,PRESTON MARKET Victoria,Preston," GPS: -37.739352,145.00178",3072
135,QUEEN VICTORIA MARKET Victoria,Melbourne," GPS: -37.807962,144.955688",3000
136,QV - QUEEN VICTORIA VILLAGE Victoria,Melbourne," GPS: -37.810696,144.965716",3000
137,RINGWOOD SQUARE SHOPPING CENTRE Victoria,Ringwood," GPS: -37.815398,145.222226",3134
138,RITCHIES VILLAGE CENTRE Victoria,Mount Eliza," GPS: -38.185074,145.089676",3930
139,ROSEBUD PLAZA Victoria,Rosebud," GPS: -38.361526,144.891378",3939
140,ROXBURGH PARK SHOPPING CENTRE Victoria,Roxburgh Park," GPS: -37.639405,144.932287",3064
141,ROYAL ARCADE Victoria,Melbourne," GPS: -37.814699,144.963505",3000
142,RUNWAY PLAZA Victoria,Melbourne," GPS: -37.724585,144.893951",3000
143,SHEPPARTON MARKETPLACE Victoria,Shepparton," GPS: -36.387641,145.423834",3630
144,SPENCER OUTLET CENTRE Victoria,Melbourne," GPS: -37.816219,144.952153",3000
145,SPENCER STREET FASHION STATION Victoria,Melbourne," GPS: -37.81898,144.954095",3000
146,SPRINGVALE HOMEMAKER CENTRE Victoria,Springvale," GPS: -37.927444,145.143394",3171
147,ST HELENA MARKETPLACE Victoria,St Helena," GPS: -37.685088,145.135792",3088
148,STOCKLAND HIGHLANDS SHOPPING CENTRE Victoria,Craigieburn," GPS: -37.5751264,144.9201082",3064
149,STOCKLAND POINT COOK SHOPPING CENTRE Victoria,Point Cook," GPS: -37.883369895772,144.73538783062",3030
150,STOCKLAND THE PINES Victoria,Doncaster," GPS: -37.763554,145.168284",3108
151,STOCKLAND TOORONGA SHOPPING CENTRE Victoria,Glen Iris," GPS: -37.845596113968,145.04558170316",3146
153,STRATH VILLAGE SHOPPING CENTRE Victoria,Bendigo," GPS: -36.774541,144.305047",3550
154,STUD PARK Victoria,Rowville," GPS: -37.920638,145.237115",3178
155,SUNBURY SQUARE SHOPPING CENTRE Victoria,Sunbury," GPS: -37.577542,144.729432",3429
156,TARGET CENTRE MELBOURNE Victoria,Melbourne," GPS: -37.813077,144.966529",3000
157,TARNEIT GARDENS SHOPPING CENTRE Victoria,Tarneit," GPS: -37.839616,144.673555",3029
158,THE COMO CENTRE Victoria,South Yarra," GPS: -37.838366,144.996065",3141
159,THE GATEWAY Victoria,Warrnambool," GPS: -38.381549,142.520583",3280
160,THE GLEN SHOPPING CENTRE Victoria,Glen Waverley," GPS: -37.87639,145.165638",3150
161,THE JAM FACTORY Victoria,South Yarra," GPS: -37.842618,144.995792",3141
162,THE LOCAL VILLAGE Victoria,Carrum Downs," GPS: -38.0886367,145.1825171",3201
163,THE MALL BORONIA Victoria,Boronia," GPS: -37.860342,145.286693",3155
164,THE PARAMOUNT RETAIL CENTRE Victoria,Melbourne," GPS: -37.811333,144.969441",3000
165,THE STRAND MELBOURNE Victoria,Melbourne," GPS: -37.813277,144.962665",3000
166,THE WALK ARCADE Victoria,Melbourne," GPS: -37.814766,144.964729",3000
167,THRIFT PARK SHOPPING CENTRE Victoria,Mentone," GPS: -37.984204,145.076943",3194
168,TOK H CENTRE Victoria,Toorak," GPS: -37.84066,145.008246",3142
169,TRARALGON CENTRE PLAZA Victoria,Traralgon," GPS: -38.194538,146.53939",3844
170,VERMONT SOUTH SHOPPING CENTRE Victoria,Vermont South," GPS: -37.855243,145.182224",3133
171,VICTORIA GARDENS SHOPPING CENTRE Victoria,Richmond," GPS: -37.812724,145.010977",3121
172,VOGUE SHOPPING CENTRE Victoria,Melbourne," GPS: -37.837395,144.996158",3000
173,WARRINGAL SHOPPING CENTRE Victoria,Heidelberg," GPS: -37.755915,145.068739",3084
174,WATERFRONT CITY Victoria,Melbourne," GPS: -37.814342,144.939035",3000
175,WATERGARDENS TOWN CENTRE Victoria,Taylors Lakes," GPS: -37.699266,144.775813",3038
176,WATERVALE SHOPPING CENTRE Victoria,Sydenham," GPS: -37.723117,144.751043",3037
177,WAVERLEY GARDENS SHOPPING CENTRE Victoria,Mulgrave," GPS: -37.935473,145.189605",3170
178,WELLINGTON VILLAGE SHOPPING CENTRE Victoria,Rowville," GPS: -37.92821,145.252208",3178
179,WESTFIELD AIRPORT WEST Victoria,Melbourne," GPS: -37.714077,144.886366",3000
180,WESTFIELD DONCASTER Victoria,Doncaster," GPS: -37.78685,145.125332",3108
181,WESTFIELD FOUNTAIN GATE Victoria,Fountain Gate," GPS: -38.017692,145.303787",3805
182,WESTFIELD GEELONG Victoria,Geelong," GPS: -38.146987,144.362575",3220
183,WESTFIELD KNOX Victoria,Wantirna South," GPS: -37.86927,145.24004",3152
184,WESTFIELD PLENTY VALLEY Victoria,Mill Park," GPS: -37.651367,145.071752",3082
185,WESTFIELD SOUTHLAND Victoria,Cheltenham," GPS: -37.958445,145.054806",3192
186,WODONGA PLAZA Victoria,Wodonga," GPS: -36.121153,146.881917",3689
187,WOODGROVE SHOPPING CENTRE Victoria,Melton," GPS: -37.686167,144.56127",3337
188,WOOLWORTHS WHITEBOX RISE WODONGA Victoria,Wodonga," GPS: -36.139008,146.892456",3689
189,WYNDHAM VALE SQUARE SHOPPING CENTRE Victoria,Wyndham Vale," GPS: -37.888057,144.607036",3024
190,WYNDHAM VILLAGE SHOPPING CENTRE Victoria,Tarneit," GPS: -37.849333,144.704302",3029
